Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_018294505.1	Primary Assembly	1A	270968281	46	CM031178.1	Chromosome	NC_057794.1	assembled-molecule	598660471			Chr1A
GCA_018294505.1	Primary Assembly	1B	317806226	46	CM031179.1	Chromosome	NC_057795.1	assembled-molecule	700547350			Chr1B
GCA_018294505.1	Primary Assembly	1D	227736156	46.5	CM031180.1	Chromosome	NC_057796.1	assembled-molecule	498638509			Chr1D
GCA_018294505.1	Primary Assembly	2A	357715349	46	CM031181.1	Chromosome	NC_057797.1	assembled-molecule	787782082			Chr2A
GCA_018294505.1	Primary Assembly	2B	368769550	46	CM031182.1	Chromosome	NC_057798.1	assembled-molecule	812755788			Chr2B
GCA_018294505.1	Primary Assembly	2D	300198549	46.5	CM031183.1	Chromosome	NC_057799.1	assembled-molecule	656544405			Chr2D
GCA_018294505.1	Primary Assembly	3A	341564648	46	CM031184.1	Chromosome	NC_057800.1	assembled-molecule	754128162			Chr3A
GCA_018294505.1	Primary Assembly	3B	384583289	46	CM031185.1	Chromosome	NC_057801.1	assembled-molecule	851934019			Chr3B
GCA_018294505.1	Primary Assembly	3D	283657922	46.5	CM031186.1	Chromosome	NC_057802.1	assembled-molecule	619618552			Chr3D
GCA_018294505.1	Primary Assembly	4A	341060115	46	CM031187.1	Chromosome	NC_057803.1	assembled-molecule	754227511			Chr4A
GCA_018294505.1	Primary Assembly	4B	308211617	46.5	CM031188.1	Chromosome	NC_057804.1	assembled-molecule	673810255			Chr4B
GCA_018294505.1	Primary Assembly	4D	238374938	46.5	CM031189.1	Chromosome	NC_057805.1	assembled-molecule	518332611			Chr4D
GCA_018294505.1	Primary Assembly	5A	323593427	46	CM031190.1	Chromosome	NC_057806.1	assembled-molecule	713360525			Chr5A
GCA_018294505.1	Primary Assembly	5B	325563857	46	CM031191.1	Chromosome	NC_057807.1	assembled-molecule	714697677			Chr5B
GCA_018294505.1	Primary Assembly	5D	260660572	46.5	CM031192.1	Chromosome	NC_057808.1	assembled-molecule	569951140			Chr5D
GCA_018294505.1	Primary Assembly	6A	282352717	46	CM031193.1	Chromosome	NC_057809.1	assembled-molecule	622669697			Chr6A
GCA_018294505.1	Primary Assembly	6B	332077067	46.5	CM031194.1	Chromosome	NC_057810.1	assembled-molecule	731188232			Chr6B
GCA_018294505.1	Primary Assembly	6D	226799055	46.5	CM031195.1	Chromosome	NC_057811.1	assembled-molecule	495380293			Chr6D
GCA_018294505.1	Primary Assembly	7A	335701811	46	CM031196.1	Chromosome	NC_057812.1	assembled-molecule	744491536			Chr7A
GCA_018294505.1	Primary Assembly	7B	345849656	46	CM031197.1	Chromosome	NC_057813.1	assembled-molecule	764072961			Chr7B
GCA_018294505.1	Primary Assembly	7D	293305029	46.5	CM031198.1	Chromosome	NC_057814.1	assembled-molecule	642921167			Chr7D
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000022.1	Chromosome	NW_025225079.1	unplaced-scaffold	139689			scaffold1A_scf_5
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000023.1	Chromosome	NW_025225080.1	unplaced-scaffold	16784			scaffold1B_scf_208
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000024.1	Chromosome	NW_025225081.1	unplaced-scaffold	14904			scaffold2A_scf_484
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000025.1	Chromosome	NW_025225082.1	unplaced-scaffold	26838			scaffold2A_scf_512
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000026.1	Chromosome	NW_025225083.1	unplaced-scaffold	57114			scaffold2A_scf_526
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000027.1	Chromosome	NW_025225084.1	unplaced-scaffold	22385			scaffold2A_scf_582
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000028.1	Chromosome	NW_025225085.1	unplaced-scaffold	44738			scaffold2B_scf_652
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000029.1	Chromosome	NW_025225086.1	unplaced-scaffold	391493			scaffold3A_scf_1089
GCA_018294505.1	Primary Assembly	Un			JAGHKL010000030.1	Chromosome	NW_025225087.1	unplaced-scaffold	13606			scaffold3A_scf_1149
