Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000003195.3	Primary Assembly	1	33431932	44	CM000760.3	Chromosome	NC_012870.2	assembled-molecule	80884392			Chr01
GCA_000003195.3	Primary Assembly	2	33737031	44	CM000761.3	Chromosome	NC_012871.2	assembled-molecule	77742459			Chr02
GCA_000003195.3	Primary Assembly	3	32252427	44	CM000762.3	Chromosome	NC_012872.2	assembled-molecule	74386277			Chr03
GCA_000003195.3	Primary Assembly	4	28099220	44	CM000763.3	Chromosome	NC_012873.2	assembled-molecule	68658214			Chr04
GCA_000003195.3	Primary Assembly	5	30225316	43.5	CM000764.3	Chromosome	NC_012874.2	assembled-molecule	71854669			Chr05
GCA_000003195.3	Primary Assembly	6	26490955	44	CM000765.3	Chromosome	NC_012875.2	assembled-molecule	61277060			Chr06
GCA_000003195.3	Primary Assembly	7	27069300	44	CM000766.3	Chromosome	NC_012876.2	assembled-molecule	65505356			Chr07
GCA_000003195.3	Primary Assembly	8	26056143	43.5	CM000767.3	Chromosome	NC_012877.2	assembled-molecule	62686529			Chr08
GCA_000003195.3	Primary Assembly	9	24601233	44	CM000768.3	Chromosome	NC_012878.2	assembled-molecule	59416394			Chr09
GCA_000003195.3	Primary Assembly	10	25236533	43.5	CM000769.3	Chromosome	NC_012879.2	assembled-molecule	61233695			Chr10
GCA_000003195.3	Primary Assembly	Un			KV917387.1	Chromosome	NW_018396397.1	unplaced-scaffold	1391575			super_16
GCA_000003195.3	Primary Assembly	Un			KV917388.1	Chromosome	NW_018396398.1	unplaced-scaffold	1172180			super_18
GCA_000003195.3	Primary Assembly	Un			KV917389.1	Chromosome	NW_018396399.1	unplaced-scaffold	888508			super_20
GCA_000003195.3	Primary Assembly	Un			KV917390.1	Chromosome	NW_018396400.1	unplaced-scaffold	639901			super_22
GCA_000003195.3	Primary Assembly	Un			KV917391.1	Chromosome	NW_018396401.1	unplaced-scaffold	641756			super_25
GCA_000003195.3	Primary Assembly	Un			KV917392.1	Chromosome	NW_018396402.1	unplaced-scaffold	650379			super_26
GCA_000003195.3	Primary Assembly	Un			KV917393.1	Chromosome	NW_018396403.1	unplaced-scaffold	526259			super_27
GCA_000003195.3	Primary Assembly	Un			KV917394.1	Chromosome	NW_018396404.1	unplaced-scaffold	552854			super_28
GCA_000003195.3	Primary Assembly	Un			KV917395.1	Chromosome	NW_018396405.1	unplaced-scaffold	537726			super_29
GCA_000003195.3	Primary Assembly	Un			KV917396.1	Chromosome	NW_018396406.1	unplaced-scaffold	569885			super_30
GCA_000003195.3	Primary Assembly	Un			KV917397.1	Chromosome	NW_018396407.1	unplaced-scaffold	403665			super_31
GCA_000003195.3	Primary Assembly	Un			KV917398.1	Chromosome	NW_018396408.1	unplaced-scaffold	403303			super_32
