Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000001635.9	C57BL/6J	1	124480341	41.5	CM000994.3	Chromosome	NC_000067.7	assembled-molecule	195154279	chr1	6	1
GCA_000001635.9	C57BL/6J	2	99805216	42.5	CM000995.3	Chromosome	NC_000068.8	assembled-molecule	181755017	chr2		2
GCA_000001635.9	C57BL/6J	3	89235754	40.5	CM000996.3	Chromosome	NC_000069.7	assembled-molecule	159745316	chr3		3
GCA_000001635.9	C57BL/6J	4	77013366	42.5	CM000997.3	Chromosome	NC_000070.7	assembled-molecule	156860686	chr4	1	4
GCA_000001635.9	C57BL/6J	5	92924255	42.5	CM000998.3	Chromosome	NC_000071.7	assembled-molecule	151758149	chr5	5	5
GCA_000001635.9	C57BL/6J	6	90631803	41.5	CM000999.3	Chromosome	NC_000072.7	assembled-molecule	149588044	chr6		6
GCA_000001635.9	C57BL/6J	7	91494112	43	CM001000.3	Chromosome	NC_000073.7	assembled-molecule	144995196	chr7	1	7
GCA_000001635.9	C57BL/6J	8	78135490	42.5	CM001001.3	Chromosome	NC_000074.7	assembled-molecule	130127694	chr8		8
GCA_000001635.9	C57BL/6J	9	77221929	43	CM001002.3	Chromosome	NC_000075.7	assembled-molecule	124359700	chr9		9
GCA_000001635.9	C57BL/6J	10	83189541	41.5	CM001003.3	Chromosome	NC_000076.7	assembled-molecule	130530862	chr10		10
GCA_000001635.9	C57BL/6J	11	62129450	44	CM001004.3	Chromosome	NC_000077.7	assembled-molecule	121973369	chr11		11
GCA_000001635.9	C57BL/6J	12	72674663	42	CM001005.3	Chromosome	NC_000078.7	assembled-molecule	120092757	chr12		12
GCA_000001635.9	C57BL/6J	13	72780795	41.5	CM001006.3	Chromosome	NC_000079.7	assembled-molecule	120883175	chr13		13
GCA_000001635.9	C57BL/6J	14	71859909	41	CM001007.3	Chromosome	NC_000080.7	assembled-molecule	125139656	chr14		14
GCA_000001635.9	C57BL/6J	15	62710649	42	CM001008.3	Chromosome	NC_000081.7	assembled-molecule	104073951	chr15		15
GCA_000001635.9	C57BL/6J	16	59738997	41	CM001009.3	Chromosome	NC_000082.7	assembled-molecule	98008968	chr16		16
GCA_000001635.9	C57BL/6J	17	55916437	42.5	CM001010.3	Chromosome	NC_000083.7	assembled-molecule	95294699	chr17		17
GCA_000001635.9	C57BL/6J	18	52260288	41.5	CM001011.3	Chromosome	NC_000084.7	assembled-molecule	90720763	chr18		18
GCA_000001635.9	C57BL/6J	19	34361218	43	CM001012.3	Chromosome	NC_000085.7	assembled-molecule	61420004	chr19		19
GCA_000001635.9	C57BL/6J	X	72030955	39.5	CM001013.3	Chromosome	NC_000086.8	assembled-molecule	169476592	chrX	1	X
GCA_000001635.9	C57BL/6J	Y	50733435	39	CM001014.3	Chromosome	NC_000087.8	assembled-molecule	91455967	chrY	4	Y
