Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_000001215.4	Primary Assembly	X	9968592	42.5	AE014298.5	Chromosome	NC_004354.4	assembled-molecule	23542271	chrX	446	X
GCA_000001215.4	Primary Assembly	2L	9824400	42	AE014134.6	Chromosome	NT_033779.5	assembled-molecule	23513712	chr2L		2L
GCA_000001215.4	Primary Assembly	2R	10771814	42.5	AE013599.5	Chromosome	NT_033778.4	assembled-molecule	25286936	chr2R		2R
GCA_000001215.4	Primary Assembly	3L	11650188	41.5	AE014296.5	Chromosome	NT_037436.4	assembled-molecule	28110227	chr3L		3L
GCA_000001215.4	Primary Assembly	3R	13651614	42.5	AE014297.3	Chromosome	NT_033777.3	assembled-molecule	32079331	chr3R		3R
GCA_000001215.4	Primary Assembly	4	469221	35	AE014135.4	Chromosome	NC_004353.4	assembled-molecule	1348131	chr4		4
GCA_000001215.4	Primary Assembly	Y	1344304	39.5	CP007106.1	Chromosome	NC_024512.1	assembled-molecule	3667352	chrY	199	Y
GCA_000001215.4	Primary Assembly	X			CP007103.1	Chromosome	NW_007931105.1	unlocalized-scaffold	33320	chrX_CP007103v1_random	446	X3X4_mapped_Scaffold_6_D1712
GCA_000001215.4	Primary Assembly	X			CP007104.1	Chromosome	NW_007931106.1	unlocalized-scaffold	27447	chrX_CP007104v1_random	446	X3X4_mapped_Scaffold_14_D1732
GCA_000001215.4	Primary Assembly	X			DS483648.1	Chromosome	NW_001844937.1	unlocalized-scaffold	13940	chrX_DS483648v1_random	446	211000022278498
GCA_000001215.4	Primary Assembly	X			DS483655.1	Chromosome	NW_001844944.1	unlocalized-scaffold	13549	chrX_DS483655v1_random	446	211000022279009
GCA_000001215.4	Primary Assembly	X			DS483660.1	Chromosome	NW_001844949.1	unlocalized-scaffold	13394	chrX_DS483660v1_random	446	211000022280042
GCA_000001215.4	Primary Assembly	X			DS483665.1	Chromosome	NW_001844954.1	unlocalized-scaffold	13234	chrX_DS483665v1_random	446	211000022279446
GCA_000001215.4	Primary Assembly	X			DS483666.1	Chromosome	NW_001844955.1	unlocalized-scaffold	13108	chrX_DS483666v1_random	446	211000022280270
GCA_000001215.4	Primary Assembly	X			DS483669.1	Chromosome	NW_001844958.1	unlocalized-scaffold	12848	chrX_DS483669v1_random	446	211000022279008
GCA_000001215.4	Primary Assembly	X			DS483685.1	Chromosome	NW_001844974.1	unlocalized-scaffold	12187	chrX_DS483685v1_random	446	211000022279676
GCA_000001215.4	Primary Assembly	X			DS483698.1	Chromosome	NW_001844987.1	unlocalized-scaffold	11522	chrX_DS483698v1_random	446	211000022279836
GCA_000001215.4	Primary Assembly	X			DS483745.1	Chromosome	NW_001845034.1	unlocalized-scaffold	9368	chrX_DS483745v1_random	446	211000022280526
GCA_000001215.4	Primary Assembly	X			DS483784.1	Chromosome	NW_001845073.1	unlocalized-scaffold	5832	chrX_DS483784v1_random	446	211000022279563
GCA_000001215.4	Primary Assembly	X			DS483789.1	Chromosome	NW_001845078.1	unlocalized-scaffold	5555	chrX_DS483789v1_random	446	211000022279955
GCA_000001215.4	Primary Assembly	X			DS483795.1	Chromosome	NW_001845084.1	unlocalized-scaffold	5387	chrX_DS483795v1_random	446	211000022280241
GCA_000001215.4	Primary Assembly	X			DS483803.1	Chromosome	NW_001845092.1	unlocalized-scaffold	5232	chrX_DS483803v1_random	446	211000022280466
GCA_000001215.4	Primary Assembly	X			DS483809.1	Chromosome	NW_001845098.1	unlocalized-scaffold	5057	chrX_DS483809v1_random	446	211000022279883
GCA_000001215.4	Primary Assembly	X			DS483818.1	Chromosome	NW_001845107.1	unlocalized-scaffold	4917	chrX_DS483818v1_random	446	211000022280649
GCA_000001215.4	Primary Assembly	X			DS483821.1	Chromosome	NW_001845110.1	unlocalized-scaffold	4879	chrX_DS483821v1_random	446	211000022280645
GCA_000001215.4	Primary Assembly	X			DS483843.1	Chromosome	NW_001845132.1	unlocalized-scaffold	4515	chrX_DS483843v1_random	446	211000022279705
GCA_000001215.4	Primary Assembly	X			DS483851.1	Chromosome	NW_001845140.1	unlocalized-scaffold	4395	chrX_DS483851v1_random	446	211000022280624
GCA_000001215.4	Primary Assembly	X			DS483885.1	Chromosome	NW_001845174.1	unlocalized-scaffold	4085	chrX_DS483885v1_random	446	211000022280479
GCA_000001215.4	Primary Assembly	X			DS483888.1	Chromosome	NW_001845177.1	unlocalized-scaffold	4072	chrX_DS483888v1_random	446	211000022280016
